experiment_accession,experiment_alias,title,study_accession,design_description,sample_accession,library_strategy,library_layout,instrument_model,run_accession,total_spots,total_bases
SRX7077677,Sbicolor_28,Sorghum bicolor 28,SRP227627,"Total RNA was extracted using miRNeasy Mini Kit (Qiagen, USA#217004) and treated with DNase I using in column DNase I digestion as described in the users manual. The integrity of RNA was checked using Bioanalyzer (Agilent Technologies) and RNA samples with RNA integrity number (RIN) ~ 9.0 or more were used for further analyses. Poly (A) mRNA enrichment and construction of stranded mRNA-seq libraries were performed using KAPA Stranded mRNA-seq kit (Cat# KR0960) (Illumina). Briefly, poly (A) mRNA was captured using magnetic oligo (dT) beads and fragmented using heat and magnesium. First-strand cDNA was synthesized using random primer and the second strand was synthesized in the presence of dUTP. Adenosine was added to the 3-end followed by adaptor ligation. The library was amplified using high fidelity, low-bias PCR. Single-end sequencing of the libraries was done at the Sequencing & Analysis Core Resource, Duke University using Illumina Hi seq 2000.",SRS5593489,RNA-Seq,SINGLE,Illumina HiSeq 2000,SRR10376298,60108373,6070945673
SRX7077676,Sbicolor_27,Sorghum bicolor 27,SRP227627,"Total RNA was extracted using miRNeasy Mini Kit (Qiagen, USA#217004) and treated with DNase I using in column DNase I digestion as described in the users manual. The integrity of RNA was checked using Bioanalyzer (Agilent Technologies) and RNA samples with RNA integrity number (RIN) ~ 9.0 or more were used for further analyses. Poly (A) mRNA enrichment and construction of stranded mRNA-seq libraries were performed using KAPA Stranded mRNA-seq kit (Cat# KR0960) (Illumina). Briefly, poly (A) mRNA was captured using magnetic oligo (dT) beads and fragmented using heat and magnesium. First-strand cDNA was synthesized using random primer and the second strand was synthesized in the presence of dUTP. Adenosine was added to the 3-end followed by adaptor ligation. The library was amplified using high fidelity, low-bias PCR. Single-end sequencing of the libraries was done at the Sequencing & Analysis Core Resource, Duke University using Illumina Hi seq 2000.",SRS5593488,RNA-Seq,SINGLE,Illumina HiSeq 2000,SRR10376299,49717555,5021473055
SRX7077675,Sbicolor_26,Sorghum bicolor 26,SRP227627,"Total RNA was extracted using miRNeasy Mini Kit (Qiagen, USA#217004) and treated with DNase I using in column DNase I digestion as described in the users manual. The integrity of RNA was checked using Bioanalyzer (Agilent Technologies) and RNA samples with RNA integrity number (RIN) ~ 9.0 or more were used for further analyses. Poly (A) mRNA enrichment and construction of stranded mRNA-seq libraries were performed using KAPA Stranded mRNA-seq kit (Cat# KR0960) (Illumina). Briefly, poly (A) mRNA was captured using magnetic oligo (dT) beads and fragmented using heat and magnesium. First-strand cDNA was synthesized using random primer and the second strand was synthesized in the presence of dUTP. Adenosine was added to the 3-end followed by adaptor ligation. The library was amplified using high fidelity, low-bias PCR. Single-end sequencing of the libraries was done at the Sequencing & Analysis Core Resource, Duke University using Illumina Hi seq 2000.",SRS5593487,RNA-Seq,SINGLE,Illumina HiSeq 2000,SRR10376300,59256649,5984921549
SRX7077674,Sbicolor_2,Sorghum bicolor 2,SRP227627,"Total RNA was extracted using miRNeasy Mini Kit (Qiagen, USA#217004) and treated with DNase I using in column DNase I digestion as described in the users manual. The integrity of RNA was checked using Bioanalyzer (Agilent Technologies) and RNA samples with RNA integrity number (RIN) ~ 9.0 or more were used for further analyses. Poly (A) mRNA enrichment and construction of stranded mRNA-seq libraries were performed using KAPA Stranded mRNA-seq kit (Cat# KR0960) (Illumina). Briefly, poly (A) mRNA was captured using magnetic oligo (dT) beads and fragmented using heat and magnesium. First-strand cDNA was synthesized using random primer and the second strand was synthesized in the presence of dUTP. Adenosine was added to the 3-end followed by adaptor ligation. The library was amplified using high fidelity, low-bias PCR. Single-end sequencing of the libraries was done at the Sequencing & Analysis Core Resource, Duke University using Illumina Hi seq 2000.",SRS5593486,RNA-Seq,SINGLE,Illumina HiSeq 2000,SRR10376301,61906735,6252580235
SRX7077673,Sbicolor_1,Sorghum bicolor 1,SRP227627,"Total RNA was extracted using miRNeasy Mini Kit (Qiagen, USA#217004) and treated with DNase I using in column DNase I digestion as described in the users manual. The integrity of RNA was checked using Bioanalyzer (Agilent Technologies) and RNA samples with RNA integrity number (RIN) ~ 9.0 or more were used for further analyses. Poly (A) mRNA enrichment and construction of stranded mRNA-seq libraries were performed using KAPA Stranded mRNA-seq kit (Cat# KR0960) (Illumina). Briefly, poly (A) mRNA was captured using magnetic oligo (dT) beads and fragmented using heat and magnesium. First-strand cDNA was synthesized using random primer and the second strand was synthesized in the presence of dUTP. Adenosine was added to the 3-end followed by adaptor ligation. The library was amplified using high fidelity, low-bias PCR. Single-end sequencing of the libraries was done at the Sequencing & Analysis Core Resource, Duke University using Illumina Hi seq 2000.",SRS5593485,RNA-Seq,SINGLE,Illumina HiSeq 2000,SRR10376302,65061449,6571206349
SRX6492356,Tx7000_treat 3_AAA,Tx7000 Treated 3,SRP216062,NA,SRS5140943,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR9735386,1660587,160213980
SRX6492355,Tx7000_cont 3_GCG,Tx7000 control 3,SRP216062,NA,SRS5140943,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR9735387,1154014,111319276
SRX6492354,Tx7000_treat 1_GCC,Tx7000 treated 1,SRP216062,NA,SRS5140943,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR9735388,3792985,366463583
SRX6492353,SC56_cont 3_GGC,SC56 control 3,SRP216062,NA,SRS5140942,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR9735389,5930034,572095738
SRX6492352,SC56_treat 1_ACC,SC56 treated 1,SRP216062,NA,SRS5140942,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR9735390,3460880,333873449
SRX6492351,Sc56_cont 1_GCA,SC56 control 1,SRP216062,NA,SRS5140942,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR9735391,5164811,498849772
SRX6492350,SC56_cont 2_GAA,SC56 control 2,SRP216062,NA,SRS5140942,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR9735392,7006141,675871137
SRX6492349,Tx7000_cont 1_CGA,Tx7000 control 1,SRP216062,NA,SRS5140943,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR9735393,969733,93673250
SRX6492348,Tx7000_cont 2_CGC,Tx7000 control 2,SRP216062,NA,SRS5140943,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR9735394,2797316,269878230
SRX6492347,Sc56_treat 2_GAC,SC56 treated 2,SRP216062,NA,SRS5140942,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR9735395,17753082,1714613669
SRX6492346,SC56_treat 3_CCC,SC56 treated 3,SRP216062,NA,SRS5140942,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR9735396,5463293,527568107
SRX5535287,GSM3675227,"GSM3675227: BTX642 Roots, 119 days old, Postflowering drought stress, plot 21; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501131,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743215,21587404,2180327804
SRX5535286,GSM3675226,"GSM3675226: BTX642 Roots, 119 days old, Postflowering drought stress, plot 15; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501130,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743214,19603583,1979961883
SRX5535285,GSM3675225,"GSM3675225: BTX642 Roots, 119 days old, Postflowering drought stress, plot 4; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501129,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743213,21393917,2160785617
SRX5535284,GSM3675224,"GSM3675224: BTX642 Roots, 112 days old, Postflowering drought stress, plot 21; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501127,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743212,24838410,2508679410
SRX5535283,GSM3675223,"GSM3675223: BTX642 Roots, 105 days old, Postflowering drought stress, plot 4; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501128,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743211,23421109,2365532009
SRX5535282,GSM3675222,"GSM3675222: BTX642 Roots, 105 days old, Postflowering drought stress, plot 21; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501126,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743210,37998764,3837875164
SRX5535281,GSM3675221,"GSM3675221: BTX642 Roots, 105 days old, Postflowering drought stress, plot 15; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501125,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743209,20248853,2045134153
SRX5535280,GSM3675220,"GSM3675220: BTX642 Roots, 98 days old, Postflowering drought stress, plot 21; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501124,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743208,30084374,3038521774
SRX5535279,GSM3675219,"GSM3675219: BTX642 Roots, 91 days old, Postflowering drought stress, plot 21; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501122,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743207,19481456,1967627056
SRX5535278,GSM3675218,"GSM3675218: BTX642 Roots, 91 days old, Postflowering drought stress, plot 15; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501123,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743206,18276336,1845909936
SRX5535277,GSM3675217,"GSM3675217: BTX642 Roots, 91 days old, Postflowering drought stress, plot 4; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501121,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743205,7100252,717125452
SRX5535276,GSM3675216,"GSM3675216: BTX642 Roots, 84 days old, Postflowering drought stress, plot 21; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501120,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743204,30198146,3050012746
SRX5535275,GSM3675215,"GSM3675215: BTX642 Roots, 77 days old, Postflowering drought stress, plot 15; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501119,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743203,17646939,1782340839
SRX5535274,GSM3675214,"GSM3675214: BTX642 Roots, 77 days old, Postflowering drought stress, plot 21; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501118,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743202,15920413,1607961713
SRX5535273,GSM3675213,"GSM3675213: BTX642 Roots, 77 days old, Postflowering drought stress, plot 4; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501117,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743201,25580293,2583609593
SRX5535272,GSM3675212,"GSM3675212: BTX642 Roots, 70 days old, Postflowering drought stress, plot 15; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501116,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743200,20458757,2066334457
SRX5535271,GSM3675211,"GSM3675211: BTX642 Roots, 70 days old, Postflowering drought stress, plot 21; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501115,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743199,23963588,2420322388
SRX5535270,GSM3675210,"GSM3675210: BTX642 Roots, 70 days old, Postflowering drought stress, plot 4; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501114,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743198,28862188,2915080988
SRX5535269,GSM3675209,"GSM3675209: BTX642 Roots, 63 days old, Postflowering drought stress, plot 15; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501113,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743197,25771487,2602920187
SRX5535268,GSM3675208,"GSM3675208: BTX642 Roots, 63 days old, Postflowering drought stress, plot 21; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501111,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743196,27485657,2776051357
SRX5535267,GSM3675207,"GSM3675207: BTX642 Roots, 63 days old, Postflowering drought stress, plot 4; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501112,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743195,27069790,2734048790
SRX5535266,GSM3675206,"GSM3675206: BTX642 Roots, 119 days old, Preflowering drought stress, plot 17; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501110,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743194,22577776,2280355376
SRX5535265,GSM3675205,"GSM3675205: BTX642 Roots, 119 days old, Preflowering drought stress, plot 14; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501109,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743193,21025785,2123604285
SRX5535264,GSM3675204,"GSM3675204: BTX642 Roots, 119 days old, Preflowering drought stress, plot 6; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501108,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743192,25415143,2566929443
SRX5535263,GSM3675203,"GSM3675203: BTX642 Roots, 112 days old, Preflowering drought stress, plot 6; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501107,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743191,25584110,2583995110
SRX5535262,GSM3675202,"GSM3675202: BTX642 Roots, 105 days old, Preflowering drought stress, plot 17; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501106,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743190,20099874,2030087274
SRX5535261,GSM3675201,"GSM3675201: BTX642 Roots, 105 days old, Preflowering drought stress, plot 14; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501105,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743189,22465049,2268969949
SRX5535260,GSM3675200,"GSM3675200: BTX642 Roots, 98 days old, Preflowering drought stress, plot 6; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501104,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743188,15719569,1587676469
SRX5535259,GSM3675199,"GSM3675199: BTX642 Roots, 91 days old, Preflowering drought stress, plot 6; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501103,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743187,35872627,3623135327
SRX5535258,GSM3675198,"GSM3675198: BTX642 Roots, 91 days old, Preflowering drought stress, plot 17; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501102,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743186,14734667,1488201367
SRX5535257,GSM3675197,"GSM3675197: BTX642 Roots, 91 days old, Preflowering drought stress, plot 14; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501100,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743185,20255166,2045771766
SRX5535256,GSM3675196,"GSM3675196: BTX642 Roots, 84 days old, Preflowering drought stress, plot 17; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501101,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743184,31093084,3140401484
SRX5535255,GSM3675195,"GSM3675195: BTX642 Roots, 84 days old, Preflowering drought stress, plot 14; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501099,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743183,29778092,3007587292
SRX5535254,GSM3675194,"GSM3675194: BTX642 Roots, 84 days old, Preflowering drought stress, plot 6; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501098,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743182,22106138,2232719938
SRX5535253,GSM3675193,"GSM3675193: BTX642 Roots, 77 days old, Preflowering drought stress, plot 17; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501097,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743181,20196649,2039861549
SRX5535252,GSM3675192,"GSM3675192: BTX642 Roots, 77 days old, Preflowering drought stress, plot 6; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501096,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743180,19937123,2013649423
SRX5535251,GSM3675191,"GSM3675191: BTX642 Roots, 77 days old, Preflowering drought stress, plot 14; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501095,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743179,24190617,2443252317
SRX5535250,GSM3675190,"GSM3675190: BTX642 Roots, 70 days old, Preflowering drought stress, plot 17; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501094,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743178,20335038,2053838838
SRX5535249,GSM3675189,"GSM3675189: BTX642 Roots, 70 days old, Preflowering drought stress, plot 6; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501093,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743177,17789769,1796766669
SRX5535248,GSM3675188,"GSM3675188: BTX642 Roots, 70 days old, Preflowering drought stress, plot 14; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501092,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743176,28258775,2854136275
SRX5535247,GSM3675187,"GSM3675187: BTX642 Roots, 63 days old, Preflowering drought stress, plot 17; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501091,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743175,22907381,2313645481
SRX5535246,GSM3675186,"GSM3675186: BTX642 Roots, 63 days old, Preflowering drought stress, plot 6; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501090,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743174,28093869,2837480769
SRX5535245,GSM3675185,"GSM3675185: BTX642 Roots, 63 days old, Preflowering drought stress, plot 14; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501089,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743173,23740642,2397804842
SRX5535244,GSM3675184,"GSM3675184: BTX642 Roots, 56 days old, Preflowering drought stress, plot 17; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501088,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743172,23341916,2357533516
SRX5535243,GSM3675183,"GSM3675183: BTX642 Roots, 56 days old, Preflowering drought stress, plot 6; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501087,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743171,28032984,2831331384
SRX5535242,GSM3675182,"GSM3675182: BTX642 Roots, 49 days old, Preflowering drought stress, plot 6; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501086,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743170,15498607,1565359307
SRX5535241,GSM3675181,"GSM3675181: BTX642 Roots, 42 days old, Preflowering drought stress, plot 17; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501085,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743169,24486841,2473170941
SRX5535240,GSM3675180,"GSM3675180: BTX642 Roots, 42 days old, Preflowering drought stress, plot 14; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501083,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743168,19300257,1949325957
SRX5535239,GSM3675179,"GSM3675179: BTX642 Roots, 42 days old, Preflowering drought stress, plot 6; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501084,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743167,24533389,2477872289
SRX5535238,GSM3675178,"GSM3675178: BTX642 Roots, 35 days old, Preflowering drought stress, plot 17; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501082,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743166,32385592,3270944792
SRX5535237,GSM3675177,"GSM3675177: BTX642 Roots, 35 days old, Preflowering drought stress, plot 14; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501081,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743165,28152516,2843404116
SRX5535236,GSM3675176,"GSM3675176: BTX642 Roots, 35 days old, Preflowering drought stress, plot 6; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501080,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743164,13289590,1342248590
SRX5535235,GSM3675175,"GSM3675175: BTX642 Roots, 28 days old, Preflowering drought stress, plot 17; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501079,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743163,18068877,1824956577
SRX5535234,GSM3675174,"GSM3675174: BTX642 Roots, 28 days old, Preflowering drought stress, plot 14; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501078,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743162,24395191,2463914291
SRX5535233,GSM3675173,"GSM3675173: BTX642 Roots, 28 days old, Preflowering drought stress, plot 6; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501077,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743161,24314962,2455811162
SRX5535232,GSM3675172,"GSM3675172: BTX642 Roots, 21 days old, Preflowering drought stress, plot 17; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501076,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743160,22124572,2234581772
SRX5535231,GSM3675171,"GSM3675171: BTX642 Roots, 21 days old, Preflowering drought stress, plot 14; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501075,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743159,21851343,2206985643
SRX5535230,GSM3675170,"GSM3675170: BTX642 Roots, 21 days old, Preflowering drought stress, plot 6; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501074,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743158,24517652,2476282852
SRX5535188,GSM3675128,"GSM3675128: RTX430 Roots, 119 days old, Postflowering drought stress, plot 16; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501032,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743116,25014729,2526487629
SRX5535187,GSM3675127,"GSM3675127: RTX430 Roots, 119 days old, Postflowering drought stress, plot 3; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501031,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743115,31793628,3211156428
SRX5535186,GSM3675126,"GSM3675126: RTX430 Roots, 119 days old, Postflowering drought stress, plot 22; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501030,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743114,20909358,2111845158
SRX5535185,GSM3675125,"GSM3675125: RTX430 Roots, 112 days old, Postflowering drought stress, plot 22; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501029,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743113,26284388,2654723188
SRX5535184,GSM3675124,"GSM3675124: RTX430 Roots, 105 days old, Postflowering drought stress, plot 22; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501028,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743112,16757757,1692533457
SRX5535183,GSM3675123,"GSM3675123: RTX430 Roots, 105 days old, Postflowering drought stress, plot 16; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501027,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743111,12546908,1267237708
SRX5535182,GSM3675122,"GSM3675122: RTX430 Roots, 105 days old, Postflowering drought stress, plot 3; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501026,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743110,23269392,2350208592
SRX5535181,GSM3675121,"GSM3675121: RTX430 Roots, 98 days old, Postflowering drought stress, plot 22; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501025,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743109,20758793,2096638093
SRX5535180,GSM3675120,"GSM3675120: RTX430 Roots, 91 days old, Postflowering drought stress, plot 22; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501024,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743108,22965024,2319467424
SRX5535179,GSM3675119,"GSM3675119: RTX430 Roots, 91 days old, Postflowering drought stress, plot 16; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501022,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743107,21638101,2185448201
SRX5535178,GSM3675118,"GSM3675118: RTX430 Roots, 91 days old, Postflowering drought stress, plot 3; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501020,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743106,14071904,1421262304
SRX5535177,GSM3675117,"GSM3675117: RTX430 Roots, 84 days old, Postflowering drought stress, plot 22; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501023,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743105,30841869,3115028769
SRX5535176,GSM3675116,"GSM3675116: RTX430 Roots, 77 days old, Postflowering drought stress, plot 16; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501021,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743104,19952261,2015178361
SRX5535175,GSM3675115,"GSM3675115: RTX430 Roots, 77 days old, Postflowering drought stress, plot 22; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501019,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743103,27754375,2803191875
SRX5535174,GSM3675114,"GSM3675114: RTX430 Roots, 77 days old, Postflowering drought stress, plot 3; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501018,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743102,29205859,2949791759
SRX5535173,GSM3675113,"GSM3675113: RTX430 Roots, 70 days old, Postflowering drought stress, plot 16; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501016,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743101,21449331,2166382431
SRX5535172,GSM3675112,"GSM3675112: RTX430 Roots, 70 days old, Postflowering drought stress, plot 22; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501017,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743100,28451268,2873578068
SRX5535171,GSM3675111,"GSM3675111: RTX430 Roots, 70 days old, Postflowering drought stress, plot 3; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501015,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743099,24855496,2510405096
SRX5535170,GSM3675110,"GSM3675110: RTX430 Roots, 63 days old, Postflowering drought stress, plot 16; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501014,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743098,20402037,2060605737
SRX5535169,GSM3675109,"GSM3675109: RTX430 Roots, 63 days old, Postflowering drought stress, plot 22; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501013,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743097,26428773,2669306073
SRX5535168,GSM3675108,"GSM3675108: RTX430 Roots, 63 days old, Postflowering drought stress, plot 3; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501012,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743096,20406175,2061023675
SRX5535167,GSM3675107,"GSM3675107: RTX430 Roots, 119 days old, Preflowering drought stress, plot 5; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501011,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743095,25799882,2605788082
SRX5535166,GSM3675106,"GSM3675106: RTX430 Roots, 119 days old, Preflowering drought stress, plot 13; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501010,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743094,20360050,2056365050
SRX5535165,GSM3675105,"GSM3675105: RTX430 Roots, 119 days old, Preflowering drought stress, plot 18; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501009,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743093,20586091,2079195191
SRX5535164,GSM3675104,"GSM3675104: RTX430 Roots, 112 days old, Preflowering drought stress, plot 5; Sorghum bicolor; RNA-Seq",SRP188707,,SRS4501008,RNA-Seq,SINGLE,Illumina HiSeq 2500,SRR8743092,26256256,2651881856
