design_description,sample_accession,run_accession,Total Size,Submitter,Center,Contact,Experiment,Study,Organism,Sample,Library Strategy,Library Source,Library Selection,Library Layout,Bioproject,Biosample,Run Accession,Run Spots,Run Bases,Create Date,Update Date
"Total RNA was extracted using miRNeasy Mini Kit (Qiagen, USA#217004) and treated with DNase I using in column DNase I digestion as described in the users manual. The integrity of RNA was checked using Bioanalyzer (Agilent Technologies) and RNA samples with RNA integrity number (RIN) ~ 9.0 or more were used for further analyses. Poly (A) mRNA enrichment and construction of stranded mRNA-seq libraries were performed using KAPA Stranded mRNA-seq kit (Cat# KR0960) (Illumina). Briefly, poly (A) mRNA was captured using magnetic oligo (dT) beads and fragmented using heat and magnesium. First-strand cDNA was synthesized using random primer and the second strand was synthesized in the presence of dUTP. Adenosine was added to the 3-end followed by adaptor ligation. The library was amplified using high fidelity, low-bias PCR. Single-end sequencing of the libraries was done at the Sequencing & Analysis Core Resource, Duke University using Illumina Hi seq 2000.",SRS5593503,SRR10376284,7287633519,SRA987592,Colorado State University,Fahad Ullah,SRX7077691,SRP227627,Sorghum bicolor,SRS5593503,RNA-Seq,TRANSCRIPTOMIC,PCR,SINGLE,PRJNA585370,SAMN13164651,,,,2020/06/01,2019/10/31
"Total RNA was extracted using miRNeasy Mini Kit (Qiagen, USA#217004) and treated with DNase I using in column DNase I digestion as described in the users manual. The integrity of RNA was checked using Bioanalyzer (Agilent Technologies) and RNA samples with RNA integrity number (RIN) ~ 9.0 or more were used for further analyses. Poly (A) mRNA enrichment and construction of stranded mRNA-seq libraries were performed using KAPA Stranded mRNA-seq kit (Cat# KR0960) (Illumina). Briefly, poly (A) mRNA was captured using magnetic oligo (dT) beads and fragmented using heat and magnesium. First-strand cDNA was synthesized using random primer and the second strand was synthesized in the presence of dUTP. Adenosine was added to the 3-end followed by adaptor ligation. The library was amplified using high fidelity, low-bias PCR. Single-end sequencing of the libraries was done at the Sequencing & Analysis Core Resource, Duke University using Illumina Hi seq 2000.",SRS5593502,SRR10376285,2385071816,SRA987592,Colorado State University,Fahad Ullah,SRX7077690,SRP227627,Sorghum bicolor,SRS5593502,RNA-Seq,TRANSCRIPTOMIC,PCR,SINGLE,PRJNA585370,SAMN13164650,,,,2020/06/01,2019/10/31
"Total RNA was extracted using miRNeasy Mini Kit (Qiagen, USA#217004) and treated with DNase I using in column DNase I digestion as described in the users manual. The integrity of RNA was checked using Bioanalyzer (Agilent Technologies) and RNA samples with RNA integrity number (RIN) ~ 9.0 or more were used for further analyses. Poly (A) mRNA enrichment and construction of stranded mRNA-seq libraries were performed using KAPA Stranded mRNA-seq kit (Cat# KR0960) (Illumina). Briefly, poly (A) mRNA was captured using magnetic oligo (dT) beads and fragmented using heat and magnesium. First-strand cDNA was synthesized using random primer and the second strand was synthesized in the presence of dUTP. Adenosine was added to the 3-end followed by adaptor ligation. The library was amplified using high fidelity, low-bias PCR. Single-end sequencing of the libraries was done at the Sequencing & Analysis Core Resource, Duke University using Illumina Hi seq 2000.",SRS5593501,SRR10376286,2547380800,SRA987592,Colorado State University,Fahad Ullah,SRX7077689,SRP227627,Sorghum bicolor,SRS5593501,RNA-Seq,TRANSCRIPTOMIC,PCR,SINGLE,PRJNA585370,SAMN13164649,,,,2020/06/01,2019/10/31
"Total RNA was extracted using miRNeasy Mini Kit (Qiagen, USA#217004) and treated with DNase I using in column DNase I digestion as described in the users manual. The integrity of RNA was checked using Bioanalyzer (Agilent Technologies) and RNA samples with RNA integrity number (RIN) ~ 9.0 or more were used for further analyses. Poly (A) mRNA enrichment and construction of stranded mRNA-seq libraries were performed using KAPA Stranded mRNA-seq kit (Cat# KR0960) (Illumina). Briefly, poly (A) mRNA was captured using magnetic oligo (dT) beads and fragmented using heat and magnesium. First-strand cDNA was synthesized using random primer and the second strand was synthesized in the presence of dUTP. Adenosine was added to the 3-end followed by adaptor ligation. The library was amplified using high fidelity, low-bias PCR. Single-end sequencing of the libraries was done at the Sequencing & Analysis Core Resource, Duke University using Illumina Hi seq 2000.",SRS5593500,SRR10376287,2512946090,SRA987592,Colorado State University,Fahad Ullah,SRX7077688,SRP227627,Sorghum bicolor,SRS5593500,RNA-Seq,TRANSCRIPTOMIC,PCR,SINGLE,PRJNA585370,SAMN13164648,,,,2020/06/01,2019/10/31
"Total RNA was extracted using miRNeasy Mini Kit (Qiagen, USA#217004) and treated with DNase I using in column DNase I digestion as described in the users manual. The integrity of RNA was checked using Bioanalyzer (Agilent Technologies) and RNA samples with RNA integrity number (RIN) ~ 9.0 or more were used for further analyses. Poly (A) mRNA enrichment and construction of stranded mRNA-seq libraries were performed using KAPA Stranded mRNA-seq kit (Cat# KR0960) (Illumina). Briefly, poly (A) mRNA was captured using magnetic oligo (dT) beads and fragmented using heat and magnesium. First-strand cDNA was synthesized using random primer and the second strand was synthesized in the presence of dUTP. Adenosine was added to the 3-end followed by adaptor ligation. The library was amplified using high fidelity, low-bias PCR. Single-end sequencing of the libraries was done at the Sequencing & Analysis Core Resource, Duke University using Illumina Hi seq 2000.",SRS5593499,SRR10376288,2048391257,SRA987592,Colorado State University,Fahad Ullah,SRX7077687,SRP227627,Sorghum bicolor,SRS5593499,RNA-Seq,TRANSCRIPTOMIC,PCR,SINGLE,PRJNA585370,SAMN13164647,,,,2020/06/01,2019/10/31
"Total RNA was extracted using miRNeasy Mini Kit (Qiagen, USA#217004) and treated with DNase I using in column DNase I digestion as described in the users manual. The integrity of RNA was checked using Bioanalyzer (Agilent Technologies) and RNA samples with RNA integrity number (RIN) ~ 9.0 or more were used for further analyses. Poly (A) mRNA enrichment and construction of stranded mRNA-seq libraries were performed using KAPA Stranded mRNA-seq kit (Cat# KR0960) (Illumina). Briefly, poly (A) mRNA was captured using magnetic oligo (dT) beads and fragmented using heat and magnesium. First-strand cDNA was synthesized using random primer and the second strand was synthesized in the presence of dUTP. Adenosine was added to the 3-end followed by adaptor ligation. The library was amplified using high fidelity, low-bias PCR. Single-end sequencing of the libraries was done at the Sequencing & Analysis Core Resource, Duke University using Illumina Hi seq 2000.",SRS5593498,SRR10376289,2367395719,SRA987592,Colorado State University,Fahad Ullah,SRX7077686,SRP227627,Sorghum bicolor,SRS5593498,RNA-Seq,TRANSCRIPTOMIC,PCR,SINGLE,PRJNA585370,SAMN13164646,,,,2020/06/01,2019/10/31
"Total RNA was extracted using miRNeasy Mini Kit (Qiagen, USA#217004) and treated with DNase I using in column DNase I digestion as described in the users manual. The integrity of RNA was checked using Bioanalyzer (Agilent Technologies) and RNA samples with RNA integrity number (RIN) ~ 9.0 or more were used for further analyses. Poly (A) mRNA enrichment and construction of stranded mRNA-seq libraries were performed using KAPA Stranded mRNA-seq kit (Cat# KR0960) (Illumina). Briefly, poly (A) mRNA was captured using magnetic oligo (dT) beads and fragmented using heat and magnesium. First-strand cDNA was synthesized using random primer and the second strand was synthesized in the presence of dUTP. Adenosine was added to the 3-end followed by adaptor ligation. The library was amplified using high fidelity, low-bias PCR. Single-end sequencing of the libraries was done at the Sequencing & Analysis Core Resource, Duke University using Illumina Hi seq 2000.",SRS5593497,SRR10376290,2210189122,SRA987592,Colorado State University,Fahad Ullah,SRX7077685,SRP227627,Sorghum bicolor,SRS5593497,RNA-Seq,TRANSCRIPTOMIC,PCR,SINGLE,PRJNA585370,SAMN13164645,,,,2020/06/01,2019/10/31
"Total RNA was extracted using miRNeasy Mini Kit (Qiagen, USA#217004) and treated with DNase I using in column DNase I digestion as described in the users manual. The integrity of RNA was checked using Bioanalyzer (Agilent Technologies) and RNA samples with RNA integrity number (RIN) ~ 9.0 or more were used for further analyses. Poly (A) mRNA enrichment and construction of stranded mRNA-seq libraries were performed using KAPA Stranded mRNA-seq kit (Cat# KR0960) (Illumina). Briefly, poly (A) mRNA was captured using magnetic oligo (dT) beads and fragmented using heat and magnesium. First-strand cDNA was synthesized using random primer and the second strand was synthesized in the presence of dUTP. Adenosine was added to the 3-end followed by adaptor ligation. The library was amplified using high fidelity, low-bias PCR. Single-end sequencing of the libraries was done at the Sequencing & Analysis Core Resource, Duke University using Illumina Hi seq 2000.",SRS5593496,SRR10376291,2199546057,SRA987592,Colorado State University,Fahad Ullah,SRX7077684,SRP227627,Sorghum bicolor,SRS5593496,RNA-Seq,TRANSCRIPTOMIC,PCR,SINGLE,PRJNA585370,SAMN13164644,,,,2020/06/01,2019/10/31
"Total RNA was extracted using miRNeasy Mini Kit (Qiagen, USA#217004) and treated with DNase I using in column DNase I digestion as described in the users manual. The integrity of RNA was checked using Bioanalyzer (Agilent Technologies) and RNA samples with RNA integrity number (RIN) ~ 9.0 or more were used for further analyses. Poly (A) mRNA enrichment and construction of stranded mRNA-seq libraries were performed using KAPA Stranded mRNA-seq kit (Cat# KR0960) (Illumina). Briefly, poly (A) mRNA was captured using magnetic oligo (dT) beads and fragmented using heat and magnesium. First-strand cDNA was synthesized using random primer and the second strand was synthesized in the presence of dUTP. Adenosine was added to the 3-end followed by adaptor ligation. The library was amplified using high fidelity, low-bias PCR. Single-end sequencing of the libraries was done at the Sequencing & Analysis Core Resource, Duke University using Illumina Hi seq 2000.",SRS5593495,SRR10376292,2355138598,SRA987592,Colorado State University,Fahad Ullah,SRX7077683,SRP227627,Sorghum bicolor,SRS5593495,RNA-Seq,TRANSCRIPTOMIC,PCR,SINGLE,PRJNA585370,SAMN13164643,,,,2020/06/01,2019/10/31
"Total RNA was extracted using miRNeasy Mini Kit (Qiagen, USA#217004) and treated with DNase I using in column DNase I digestion as described in the users manual. The integrity of RNA was checked using Bioanalyzer (Agilent Technologies) and RNA samples with RNA integrity number (RIN) ~ 9.0 or more were used for further analyses. Poly (A) mRNA enrichment and construction of stranded mRNA-seq libraries were performed using KAPA Stranded mRNA-seq kit (Cat# KR0960) (Illumina). Briefly, poly (A) mRNA was captured using magnetic oligo (dT) beads and fragmented using heat and magnesium. First-strand cDNA was synthesized using random primer and the second strand was synthesized in the presence of dUTP. Adenosine was added to the 3-end followed by adaptor ligation. The library was amplified using high fidelity, low-bias PCR. Single-end sequencing of the libraries was done at the Sequencing & Analysis Core Resource, Duke University using Illumina Hi seq 2000.",SRS5593494,SRR10376293,1869299860,SRA987592,Colorado State University,Fahad Ullah,SRX7077682,SRP227627,Sorghum bicolor,SRS5593494,RNA-Seq,TRANSCRIPTOMIC,PCR,SINGLE,PRJNA585370,SAMN13164670,,,,2020/06/01,2019/10/31
"Total RNA was extracted using miRNeasy Mini Kit (Qiagen, USA#217004) and treated with DNase I using in column DNase I digestion as described in the users manual. The integrity of RNA was checked using Bioanalyzer (Agilent Technologies) and RNA samples with RNA integrity number (RIN) ~ 9.0 or more were used for further analyses. Poly (A) mRNA enrichment and construction of stranded mRNA-seq libraries were performed using KAPA Stranded mRNA-seq kit (Cat# KR0960) (Illumina). Briefly, poly (A) mRNA was captured using magnetic oligo (dT) beads and fragmented using heat and magnesium. First-strand cDNA was synthesized using random primer and the second strand was synthesized in the presence of dUTP. Adenosine was added to the 3-end followed by adaptor ligation. The library was amplified using high fidelity, low-bias PCR. Single-end sequencing of the libraries was done at the Sequencing & Analysis Core Resource, Duke University using Illumina Hi seq 2000.",SRS5593493,SRR10376294,1835646446,SRA987592,Colorado State University,Fahad Ullah,SRX7077681,SRP227627,Sorghum bicolor,SRS5593493,RNA-Seq,TRANSCRIPTOMIC,PCR,SINGLE,PRJNA585370,SAMN13164669,,,,2020/06/01,2019/10/31
"Total RNA was extracted using miRNeasy Mini Kit (Qiagen, USA#217004) and treated with DNase I using in column DNase I digestion as described in the users manual. The integrity of RNA was checked using Bioanalyzer (Agilent Technologies) and RNA samples with RNA integrity number (RIN) ~ 9.0 or more were used for further analyses. Poly (A) mRNA enrichment and construction of stranded mRNA-seq libraries were performed using KAPA Stranded mRNA-seq kit (Cat# KR0960) (Illumina). Briefly, poly (A) mRNA was captured using magnetic oligo (dT) beads and fragmented using heat and magnesium. First-strand cDNA was synthesized using random primer and the second strand was synthesized in the presence of dUTP. Adenosine was added to the 3-end followed by adaptor ligation. The library was amplified using high fidelity, low-bias PCR. Single-end sequencing of the libraries was done at the Sequencing & Analysis Core Resource, Duke University using Illumina Hi seq 2000.",SRS5593492,SRR10376295,2090535879,SRA987592,Colorado State University,Fahad Ullah,SRX7077680,SRP227627,Sorghum bicolor,SRS5593492,RNA-Seq,TRANSCRIPTOMIC,PCR,SINGLE,PRJNA585370,SAMN13164642,,,,2020/06/01,2019/10/31
"Total RNA was extracted using miRNeasy Mini Kit (Qiagen, USA#217004) and treated with DNase I using in column DNase I digestion as described in the users manual. The integrity of RNA was checked using Bioanalyzer (Agilent Technologies) and RNA samples with RNA integrity number (RIN) ~ 9.0 or more were used for further analyses. Poly (A) mRNA enrichment and construction of stranded mRNA-seq libraries were performed using KAPA Stranded mRNA-seq kit (Cat# KR0960) (Illumina). Briefly, poly (A) mRNA was captured using magnetic oligo (dT) beads and fragmented using heat and magnesium. First-strand cDNA was synthesized using random primer and the second strand was synthesized in the presence of dUTP. Adenosine was added to the 3-end followed by adaptor ligation. The library was amplified using high fidelity, low-bias PCR. Single-end sequencing of the libraries was done at the Sequencing & Analysis Core Resource, Duke University using Illumina Hi seq 2000.",SRS5593491,SRR10376296,2079652499,SRA987592,Colorado State University,Fahad Ullah,SRX7077679,SRP227627,Sorghum bicolor,SRS5593491,RNA-Seq,TRANSCRIPTOMIC,PCR,SINGLE,PRJNA585370,SAMN13164668,,,,2020/06/01,2019/10/31
"Total RNA was extracted using miRNeasy Mini Kit (Qiagen, USA#217004) and treated with DNase I using in column DNase I digestion as described in the users manual. The integrity of RNA was checked using Bioanalyzer (Agilent Technologies) and RNA samples with RNA integrity number (RIN) ~ 9.0 or more were used for further analyses. Poly (A) mRNA enrichment and construction of stranded mRNA-seq libraries were performed using KAPA Stranded mRNA-seq kit (Cat# KR0960) (Illumina). Briefly, poly (A) mRNA was captured using magnetic oligo (dT) beads and fragmented using heat and magnesium. First-strand cDNA was synthesized using random primer and the second strand was synthesized in the presence of dUTP. Adenosine was added to the 3-end followed by adaptor ligation. The library was amplified using high fidelity, low-bias PCR. Single-end sequencing of the libraries was done at the Sequencing & Analysis Core Resource, Duke University using Illumina Hi seq 2000.",SRS5593490,SRR10376297,2023851393,SRA987592,Colorado State University,Fahad Ullah,SRX7077678,SRP227627,Sorghum bicolor,SRS5593490,RNA-Seq,TRANSCRIPTOMIC,PCR,SINGLE,PRJNA585370,SAMN13164667,,,,2020/06/01,2019/10/31
"Total RNA was extracted using miRNeasy Mini Kit (Qiagen, USA#217004) and treated with DNase I using in column DNase I digestion as described in the users manual. The integrity of RNA was checked using Bioanalyzer (Agilent Technologies) and RNA samples with RNA integrity number (RIN) ~ 9.0 or more were used for further analyses. Poly (A) mRNA enrichment and construction of stranded mRNA-seq libraries were performed using KAPA Stranded mRNA-seq kit (Cat# KR0960) (Illumina). Briefly, poly (A) mRNA was captured using magnetic oligo (dT) beads and fragmented using heat and magnesium. First-strand cDNA was synthesized using random primer and the second strand was synthesized in the presence of dUTP. Adenosine was added to the 3-end followed by adaptor ligation. The library was amplified using high fidelity, low-bias PCR. Single-end sequencing of the libraries was done at the Sequencing & Analysis Core Resource, Duke University using Illumina Hi seq 2000.",SRS5593489,SRR10376298,1997551547,SRA987592,Colorado State University,Fahad Ullah,SRX7077677,SRP227627,Sorghum bicolor,SRS5593489,RNA-Seq,TRANSCRIPTOMIC,PCR,SINGLE,PRJNA585370,SAMN13164666,,,,2020/06/01,2019/10/31
"Total RNA was extracted using miRNeasy Mini Kit (Qiagen, USA#217004) and treated with DNase I using in column DNase I digestion as described in the users manual. The integrity of RNA was checked using Bioanalyzer (Agilent Technologies) and RNA samples with RNA integrity number (RIN) ~ 9.0 or more were used for further analyses. Poly (A) mRNA enrichment and construction of stranded mRNA-seq libraries were performed using KAPA Stranded mRNA-seq kit (Cat# KR0960) (Illumina). Briefly, poly (A) mRNA was captured using magnetic oligo (dT) beads and fragmented using heat and magnesium. First-strand cDNA was synthesized using random primer and the second strand was synthesized in the presence of dUTP. Adenosine was added to the 3-end followed by adaptor ligation. The library was amplified using high fidelity, low-bias PCR. Single-end sequencing of the libraries was done at the Sequencing & Analysis Core Resource, Duke University using Illumina Hi seq 2000.",SRS5593488,SRR10376299,1661479386,SRA987592,Colorado State University,Fahad Ullah,SRX7077676,SRP227627,Sorghum bicolor,SRS5593488,RNA-Seq,TRANSCRIPTOMIC,PCR,SINGLE,PRJNA585370,SAMN13164665,,,,2020/06/01,2019/10/31
"Total RNA was extracted using miRNeasy Mini Kit (Qiagen, USA#217004) and treated with DNase I using in column DNase I digestion as described in the users manual. The integrity of RNA was checked using Bioanalyzer (Agilent Technologies) and RNA samples with RNA integrity number (RIN) ~ 9.0 or more were used for further analyses. Poly (A) mRNA enrichment and construction of stranded mRNA-seq libraries were performed using KAPA Stranded mRNA-seq kit (Cat# KR0960) (Illumina). Briefly, poly (A) mRNA was captured using magnetic oligo (dT) beads and fragmented using heat and magnesium. First-strand cDNA was synthesized using random primer and the second strand was synthesized in the presence of dUTP. Adenosine was added to the 3-end followed by adaptor ligation. The library was amplified using high fidelity, low-bias PCR. Single-end sequencing of the libraries was done at the Sequencing & Analysis Core Resource, Duke University using Illumina Hi seq 2000.",SRS5593487,SRR10376300,1974346943,SRA987592,Colorado State University,Fahad Ullah,SRX7077675,SRP227627,Sorghum bicolor,SRS5593487,RNA-Seq,TRANSCRIPTOMIC,PCR,SINGLE,PRJNA585370,SAMN13164664,,,,2020/06/01,2019/10/31
"Total RNA was extracted using miRNeasy Mini Kit (Qiagen, USA#217004) and treated with DNase I using in column DNase I digestion as described in the users manual. The integrity of RNA was checked using Bioanalyzer (Agilent Technologies) and RNA samples with RNA integrity number (RIN) ~ 9.0 or more were used for further analyses. Poly (A) mRNA enrichment and construction of stranded mRNA-seq libraries were performed using KAPA Stranded mRNA-seq kit (Cat# KR0960) (Illumina). Briefly, poly (A) mRNA was captured using magnetic oligo (dT) beads and fragmented using heat and magnesium. First-strand cDNA was synthesized using random primer and the second strand was synthesized in the presence of dUTP. Adenosine was added to the 3-end followed by adaptor ligation. The library was amplified using high fidelity, low-bias PCR. Single-end sequencing of the libraries was done at the Sequencing & Analysis Core Resource, Duke University using Illumina Hi seq 2000.",SRS5593486,SRR10376301,2099783976,SRA987592,Colorado State University,Fahad Ullah,SRX7077674,SRP227627,Sorghum bicolor,SRS5593486,RNA-Seq,TRANSCRIPTOMIC,PCR,SINGLE,PRJNA585370,SAMN13164640,,,,2020/06/01,2019/10/31
"Total RNA was extracted using miRNeasy Mini Kit (Qiagen, USA#217004) and treated with DNase I using in column DNase I digestion as described in the users manual. The integrity of RNA was checked using Bioanalyzer (Agilent Technologies) and RNA samples with RNA integrity number (RIN) ~ 9.0 or more were used for further analyses. Poly (A) mRNA enrichment and construction of stranded mRNA-seq libraries were performed using KAPA Stranded mRNA-seq kit (Cat# KR0960) (Illumina). Briefly, poly (A) mRNA was captured using magnetic oligo (dT) beads and fragmented using heat and magnesium. First-strand cDNA was synthesized using random primer and the second strand was synthesized in the presence of dUTP. Adenosine was added to the 3-end followed by adaptor ligation. The library was amplified using high fidelity, low-bias PCR. Single-end sequencing of the libraries was done at the Sequencing & Analysis Core Resource, Duke University using Illumina Hi seq 2000.",SRS5593485,SRR10376302,2208828238,SRA987592,Colorado State University,Fahad Ullah,SRX7077673,SRP227627,Sorghum bicolor,SRS5593485,RNA-Seq,TRANSCRIPTOMIC,PCR,SINGLE,PRJNA585370,SAMN13164639,,,,2020/06/01,2019/10/31
,SRS5140943,SRR9735386,78372580,SRA925243,Kentucky State University,farida Azzouz olden,SRX6492356,SRP216062,Sorghum bicolor,SRS5140943,RNA-Seq,TRANSCRIPTOMIC,PCR,SINGLE,PRJNA556240,SAMN12344365,,,,2019/10/01,2019/07/23
,SRS5140943,SRR9735387,58074791,SRA925243,Kentucky State University,farida Azzouz olden,SRX6492355,SRP216062,Sorghum bicolor,SRS5140943,RNA-Seq,TRANSCRIPTOMIC,PCR,SINGLE,PRJNA556240,SAMN12344365,,,,2019/10/01,2019/07/23
,SRS5140943,SRR9735388,171615344,SRA925243,Kentucky State University,farida Azzouz olden,SRX6492354,SRP216062,Sorghum bicolor,SRS5140943,RNA-Seq,TRANSCRIPTOMIC,PCR,SINGLE,PRJNA556240,SAMN12344365,,,,2019/10/01,2019/07/23
,SRS5140942,SRR9735389,274393303,SRA925243,Kentucky State University,farida Azzouz olden,SRX6492353,SRP216062,Sorghum bicolor,SRS5140942,RNA-Seq,TRANSCRIPTOMIC,PCR,SINGLE,PRJNA556240,SAMN12344364,,,,2019/10/01,2019/07/23
,SRS5140942,SRR9735390,160353052,SRA925243,Kentucky State University,farida Azzouz olden,SRX6492352,SRP216062,Sorghum bicolor,SRS5140942,RNA-Seq,TRANSCRIPTOMIC,PCR,SINGLE,PRJNA556240,SAMN12344364,,,,2019/10/01,2019/07/23
,SRS5140942,SRR9735391,228702884,SRA925243,Kentucky State University,farida Azzouz olden,SRX6492351,SRP216062,Sorghum bicolor,SRS5140942,RNA-Seq,TRANSCRIPTOMIC,PCR,SINGLE,PRJNA556240,SAMN12344364,,,,2019/10/01,2019/07/23
,SRS5140942,SRR9735392,314497825,SRA925243,Kentucky State University,farida Azzouz olden,SRX6492350,SRP216062,Sorghum bicolor,SRS5140942,RNA-Seq,TRANSCRIPTOMIC,PCR,SINGLE,PRJNA556240,SAMN12344364,,,,2019/10/01,2019/07/23
,SRS5140943,SRR9735393,44148325,SRA925243,Kentucky State University,farida Azzouz olden,SRX6492349,SRP216062,Sorghum bicolor,SRS5140943,RNA-Seq,TRANSCRIPTOMIC,PCR,SINGLE,PRJNA556240,SAMN12344365,,,,2019/10/01,2019/07/23
,SRS5140943,SRR9735394,136999506,SRA925243,Kentucky State University,farida Azzouz olden,SRX6492348,SRP216062,Sorghum bicolor,SRS5140943,RNA-Seq,TRANSCRIPTOMIC,PCR,SINGLE,PRJNA556240,SAMN12344365,,,,2019/10/01,2019/07/23
,SRS5140942,SRR9735395,778617284,SRA925243,Kentucky State University,farida Azzouz olden,SRX6492347,SRP216062,Sorghum bicolor,SRS5140942,RNA-Seq,TRANSCRIPTOMIC,PCR,SINGLE,PRJNA556240,SAMN12344364,,,,2019/10/01,2019/07/23
,SRS5140942,SRR9735396,248816586,SRA925243,Kentucky State University,farida Azzouz olden,SRX6492346,SRP216062,Sorghum bicolor,SRS5140942,RNA-Seq,TRANSCRIPTOMIC,PCR,SINGLE,PRJNA556240,SAMN12344364,,,,2019/10/01,2019/07/23
,SRS4501131,SRR8743215,1000592604,SRA861790,GEO,"Gene Expression Omnibus (GEO), NCBI, NLM, NIH, htt",SRX5535287,SRP188707,Sorghum bicolor,SRS4501131,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,PRJNA527782,SAMN11159509,,,,2019/11/21,2019/03/18
,SRS4501130,SRR8743214,880886748,SRA861790,GEO,"Gene Expression Omnibus (GEO), NCBI, NLM, NIH, htt",SRX5535286,SRP188707,Sorghum bicolor,SRS4501130,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,PRJNA527782,SAMN11159510,,,,2019/11/21,2019/03/18
,SRS4501129,SRR8743213,878238964,SRA861790,GEO,"Gene Expression Omnibus (GEO), NCBI, NLM, NIH, htt",SRX5535285,SRP188707,Sorghum bicolor,SRS4501129,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,PRJNA527782,SAMN11159511,,,,2019/11/21,2019/03/18
,SRS4501127,SRR8743212,1070077770,SRA861790,GEO,"Gene Expression Omnibus (GEO), NCBI, NLM, NIH, htt",SRX5535284,SRP188707,Sorghum bicolor,SRS4501127,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,PRJNA527782,SAMN11159512,,,,2019/11/21,2019/03/18
,SRS4501128,SRR8743211,989683454,SRA861790,GEO,"Gene Expression Omnibus (GEO), NCBI, NLM, NIH, htt",SRX5535283,SRP188707,Sorghum bicolor,SRS4501128,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,PRJNA527782,SAMN11159513,,,,2019/11/21,2019/03/18
,SRS4501126,SRR8743210,1554807541,SRA861790,GEO,"Gene Expression Omnibus (GEO), NCBI, NLM, NIH, htt",SRX5535282,SRP188707,Sorghum bicolor,SRS4501126,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,PRJNA527782,SAMN11159462,,,,2019/11/21,2019/03/18
,SRS4501125,SRR8743209,839884347,SRA861790,GEO,"Gene Expression Omnibus (GEO), NCBI, NLM, NIH, htt",SRX5535281,SRP188707,Sorghum bicolor,SRS4501125,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,PRJNA527782,SAMN11159463,,,,2019/11/21,2019/03/18
,SRS4501124,SRR8743208,1369985776,SRA861790,GEO,"Gene Expression Omnibus (GEO), NCBI, NLM, NIH, htt",SRX5535280,SRP188707,Sorghum bicolor,SRS4501124,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,PRJNA527782,SAMN11159464,,,,2019/11/21,2019/03/18
,SRS4501122,SRR8743207,902150690,SRA861790,GEO,"Gene Expression Omnibus (GEO), NCBI, NLM, NIH, htt",SRX5535279,SRP188707,Sorghum bicolor,SRS4501122,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,PRJNA527782,SAMN11159465,,,,2019/11/21,2019/03/18
,SRS4501123,SRR8743206,812197356,SRA861790,GEO,"Gene Expression Omnibus (GEO), NCBI, NLM, NIH, htt",SRX5535278,SRP188707,Sorghum bicolor,SRS4501123,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,PRJNA527782,SAMN11159466,,,,2019/11/21,2019/03/18
,SRS4501121,SRR8743205,247220468,SRA861790,GEO,"Gene Expression Omnibus (GEO), NCBI, NLM, NIH, htt",SRX5535277,SRP188707,Sorghum bicolor,SRS4501121,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,PRJNA527782,SAMN11159467,,,,2019/11/21,2019/03/18
,SRS4501120,SRR8743204,1363346226,SRA861790,GEO,"Gene Expression Omnibus (GEO), NCBI, NLM, NIH, htt",SRX5535276,SRP188707,Sorghum bicolor,SRS4501120,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,PRJNA527782,SAMN11159468,,,,2019/11/21,2019/03/18
,SRS4501119,SRR8743203,763182217,SRA861790,GEO,"Gene Expression Omnibus (GEO), NCBI, NLM, NIH, htt",SRX5535275,SRP188707,Sorghum bicolor,SRS4501119,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,PRJNA527782,SAMN11159469,,,,2019/11/21,2019/03/18
,SRS4501118,SRR8743202,602567559,SRA861790,GEO,"Gene Expression Omnibus (GEO), NCBI, NLM, NIH, htt",SRX5535274,SRP188707,Sorghum bicolor,SRS4501118,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,PRJNA527782,SAMN11159470,,,,2019/11/21,2019/03/18
,SRS4501117,SRR8743201,1091957474,SRA861790,GEO,"Gene Expression Omnibus (GEO), NCBI, NLM, NIH, htt",SRX5535273,SRP188707,Sorghum bicolor,SRS4501117,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,PRJNA527782,SAMN11159471,,,,2019/11/21,2019/03/18
,SRS4501116,SRR8743200,932405539,SRA861790,GEO,"Gene Expression Omnibus (GEO), NCBI, NLM, NIH, htt",SRX5535272,SRP188707,Sorghum bicolor,SRS4501116,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,PRJNA527782,SAMN11159472,,,,2019/11/21,2019/03/18
